rank,location,total_violations,hotspot_score,severity,description
4864,"1st Cross Road, Krishna Nagar Industrial Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4865,"8th Main Road, Rajiv Gandhi Nagar, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4866,"Shampura Main Road, Muslim Colony, Pillanna Garden, Bengaluru, Karnataka. Pin-560045 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4867,"1st Main Road, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4868,"3rd Cross Road, KG Layout, Kumbaragundi, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4869,"Narayan Pillai Street, Commercial Street Shopping Area, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4870,"Whitefield Road, Sumadhura Capitol Towers, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4871,"10th Main Road, Block 4E, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4872,"Whitefield Main Road, Whitefield Boulevard, Seegehalli, Bengaluru, Karnataka. Pin-560067 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4873,"Byrasandra Main Road, Madhavan Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4874,"Old Airport Road, Agaram, Bengaluru, Karnataka. Pin-560007 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4875,"2nd Temple Street, Kodandarampura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4876,"Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4877,"IBC Internal Road, Sobha Morzaria Grandeur, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4878,"ITPL Main Road, Earth Centre, EPIP Zone Phase 1, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4879,"Hutchins Road, BL Rice Nagar, St Thomas Town, Bengaluru, Karnataka. Pin-560084 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4880,"Nanja Raja Reddy Colony Main Road, RMS Layout, Murugeshpalya, Bengaluru, Karnataka. Pin-560017 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4881,"Nandini, 4th Cross Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4882,"10th Cross Road, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4883,"10th Cross Road, Ahmed Nagar, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560039 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4884,"10th Cross Road, Vinayaka Nagara, Wilson Garden, Hombegowda Nagara, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560030, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4885,"3rd Cross Road, Marenahalli Industrial Area, JP Nagar Phase 2, Bengaluru, Karnataka. Pin-560078 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4886,"Nagawara Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4887,"Nallurahalli Road, Aparanta Enclave, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4888,"80 Feet Ring Road, Block 2 Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4889,"ITPL Main Road, NGEF Industrial Estate, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4890,"Sir CV Raman Hospital Road, Aveda Meta, Binnamangala, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4891,"Hosur Road, Central Silk Board Staff Quarters, Dollar Scheme Colony, BTM Layout Stage 1, Bengaluru, Karnataka. Pin-560068 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4892,"Hosur Road, Bhuvanappa Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4893,"1st Cross Road, Sidvin Grace, Mallathahalli, Bengaluru, Karnataka. Pin-560056 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4894,"Hosur Road, Salarpuria Symphony Commercial Building, Pragathi Nagar, Chikkathoguru, Bengaluru, Karnataka. Pin-560100 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4895,"Nawab Hyder Ali Khan Road, Kalasipalyam, D.V Gundappa Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4896,"Nisar Metals, 175/1, B.V.K. Iyengar Road, Balepet, Chikkapete, Cottonpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4897,"Cambridge Road, Jains Cambridge, Keshwaraj Layout, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4898,"Canara Union Road, Panduram Ashram CHS, BHEL Township, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4899,"Canara Union Road, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4900,"Whitefield Road, Skyview, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4901,"1st Cross Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4902,"1st Cross Road, Renaissance Park 1, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4903,"8th Main Road, Ex Servicemen Colony, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4904,"8th Main Road, Delmia Circle, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4905,"Hosur Road, Chinnaswamy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4906,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4907,"1st Main Road, BDA Layout, Stage 2, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4908,"Shivananda Steel Flyover, Dr Hardikar Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4909,"Cargo Road, Shreela Airview Enclave, Yerthiganahalli, Bengaluru, Karnataka. Pin-562157 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4910,"Yo China, 90/3, Service Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560034, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4911,"New Airport Road, Bharathi Nagar, Hunasamaranahalli, Kodagalahatti, Yelahanka taluku, Bengaluru Urban, Karnataka, 562157, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4912,"38th Main Road, SBI Colony, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4913,"10th Cross Road, Ganapathinagar, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4914,"Chokkasandra, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560057, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4915,"Cemetery Road, B&C Colony, Shanti Nagar, Bengaluru, Karnataka. Pin-560025 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4916,"Cave Temple Road, Hulimavu, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560076, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4917,"ORC Road, 3rd Block, Xavier Layout, Bengaluru, Karnataka. Pin-560047 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4918,"Hosur Road, Salarpuria Tower, Adugodi, Bengaluru, Karnataka. Pin-560095 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4919,"Siddhapura Road, Dr Ambedkar Social Welfare Association, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4920,"1st Cross Road, Sobha Rose Apartment, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4921,"1st Cross Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4922,"1st Cross Road, Salarpuria Sattva East Crest, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4923,"Hosur Road, Konappana Agrahara, Electronics City Phase 1, Veerasandra, Electronic City, Anekal, Bengaluru Urban, Karnataka, 560100, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4924,"Hosur Road, NIMHANS Junction, NIMHANS, Bengaluru, Karnataka. Pin-560029 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4925,"The Body Shop, UG38A, Dr. Rajkumar Road, Subramanya Nagar 2nd Stage, Subrahmanya Nagar, Subramanyanagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560055, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4926,"2nd Cross Road, Attimaramma Circle, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4927,"2nd Cross Road, Bovi Colony, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4928,"4th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4929,"Balasubramanya Street, Gopalan Residency, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4930,"Balaji Vaidyasala, 4/5, Central Street, Tasker Town, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4931,"Bagaluru Main Road, Durgamba Layout, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4932,"2nd Cross Road, Gopalapuram, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4933,"Palmgrove Road, 3rd Block, Xavier Layout, Bengaluru, Karnataka. Pin-560047 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4934,"Palace Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4935,"2nd Cross Road, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4936,"2nd Cross Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4937,"4th Main Road, Samvriddhi Gardenia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4938,"Madhavaraya Mudaliar Road, Cox Town, Bengaluru, Karnataka. Pin-560005 (India)",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4939,"MF Norrona Street, Commercial Street Market, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4940,"109, 2nd Main Road, Nagapura, Mahalakshmipuram, Nagapura, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560086, India",4,0.1,MEDIUM,High parking violation zone requiring enforcement attention.
4941,"Kumar Krupa Road, Shivananda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4942,"Yelahanka New Town Main Road, Sector B, Yelahanka New Town, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4943,"10th A Main Road, Da Ra Bendre Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4944,"Y1 Road, ITI Township, KR Puram, Bengaluru, Karnataka. Pin-560016 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4945,"Yelahanka Road, Akshaya Nagar Stage 2, Attur Layout, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4946,"10th C Main Road, Gubbanna Industrial Estate, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4947,"Chikkabellanduru Road, Joval Farms, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4948,"5th Cross Road, Valliappa Nagar, Bengaluru, Karnataka. Pin-560001 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4949,"5th Cross Road, SSI Industrial Area, Block 5, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4950,"Lake N Bake, Kamaraj Road, Commercial Street Market, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4951,"10th Cross Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4952,"10th Cross Road, Kaniyar Colony, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4953,"Whitefield Road, Divyasree NR Enclave, EPIP Zone Phase 1, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4954,"Yelahanka Road, 1st Stage, Yelahanka New Town, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4955,"Yelahanka Sante, Jakkur Road, Surabhi Layout, Yelahanka, Akash Ward, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4956,"Yemalur Road, Purva Bellandur, Yemlur, Bengaluru, Karnataka. Pin-560037 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4957,"Kuvempu Road, Vijay Shree Layout, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4958,"Kwality BIg Bazaar, 51, 80 Feet Road, RMV 2nd Stage 2nd Block, Geddalahalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560094, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4959,"Laggere Main Road, Muniswara Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4960,"Laila, Pattandur Agrahara Road, Pattanduru Agrahara, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4961,"10th Main Road, Filor House, AECS Layout A Block, Kudlu, Bengaluru, Karnataka. Pin-560068 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4962,"10th Cross Road, Ramesh Babu Circle, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4963,"10th Cross Road, Sampangiram Nagar, Bengaluru, Karnataka. Pin-560027 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4964,"10th Cross Road, Venugopala Layout, Vidyaranyapura, Bengaluru, Karnataka. Pin-560097 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4965,"Chikkagowdana Palya Main Road, Siri Exotica, Chikkagowdanapalya, Bengaluru, Karnataka. Pin-560061 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4966,"10th Cross Road, Ramanjaneya Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4967,"10th Cross Road, Annayappa Colony, HAL Stage 3, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4968,"Lalbagh Road, Shanti Nagar, Hombegowda Nagara, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4969,"Kothanur Main Road, Brigade Millennium, JP Nagar Phase 7, Bengaluru, Karnataka. Pin-560078 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4970,"Lalbagh Main Road, Vinoba Nagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4971,"Lazar Road, Lazar Layout, Cooke Town, Bengaluru, Karnataka. Pin-560005 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4972,"5th Cross Road, Indian Oil Campus, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4973,"5th Main Road, Karnataka Electricity Board Quarters, Govindaraja Nagar, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4974,"5th Main Road, DNR Highline, Okalipuram, Bengaluru, Karnataka. Pin-560021 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4975,"Kondajji Basappa Road, Patnoolpet, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4976,"10th Main Road, Jooganahalli, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4977,"10th Main Road, Madhavan Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4978,"10th Main Road, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4979,"Whitefield Road, Dhruvika Mogra, Hoodi, Bengaluru, Karnataka. Pin-560048 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4980,"Whitefield Main Road, SBR Magnus, Katamnallur, Bengaluru, Karnataka. Pin-560049 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4981,"Whitefield Main Road, Sai Durga Apartment, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4982,"Central Street, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560051, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4983,"Chandni Chowk Road, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4984,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4985,"Leonard Lane, Senior Police Officers Residential Complex, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4986,"5th Main Road, Munipillapa Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4987,"Konanakunte Main Road, Channasandra Layout, Yalanchenahalli, Bengaluru, Karnataka. Pin-560078 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4988,"Konanakunte Main Road, Jagathguru Shri Sivaratripura Circle, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4989,"MBT Road, Ashok Nagar, RIFCO Shanthinikethan Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4990,"5th Cross Road, Gopalapuram, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4991,"Konanakunte Main Road, Brigade Software Park, Banashankari Stage 2, Bengaluru, Karnataka. Pin-560070 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4992,"MBT Road, MC Sarovar Apartment, Sidhappa Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4993,"MBT Road, Munivenkatappa Layout, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4994,"MBT Road, Ebisu Tech Park, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4995,"11th Cross Road, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4996,"Chocolate Factory Road, Thavarekere Extension, Tavarekere, Bengaluru, Karnataka. Pin-560029 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4997,"Chord Road, CPWD Complex, MC Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4998,"MBT Road, Hebbal Junction, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
4999,"M V Jayaram Road, Jayamahal, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560046, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5000,"MBT Road, Jala, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5001,"5th C Cross Road, IAS Colony, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5002,"MBT Road, Nanjamma Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5003,"MBT Road, Ramannapet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5004,"5th A Cross Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5005,"57th C Cross Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5006,"MBT Road, SMR Vinay Estate, Kallumantapa, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5007,"MBT Road, Hennuru Junction, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5008,"11th Cross Road, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5009,"Chinmaya Mission Hospital Road, Lakshmipuram, Hoysala Nagara Central, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5010,"Chord Road, Rajajinagara 1st R Block, Basaveshwaranagar, Kethamaranahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5011,"Chord Road, HBCS Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5012,"Chord Road, Industrial Estate, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5013,"Campus Road, Venkateshwara Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5014,"Whitefield Main Road, Alpine Viva, Belathur, Bengaluru, Karnataka. Pin-560067 (India)",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
5015,"58,59, 17th Cross Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",3,0.07,MEDIUM,High parking violation zone requiring enforcement attention.
