rank,location,total_violations,hotspot_score,severity
5736,"BGS Flyover, Ennar Eminence Aradhana Apartment, Kaniyar Colony, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",3,0.07,MEDIUM
5737,"BBMP Waste Transfer Station, Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",3,0.07,MEDIUM
5738,"BDA 80 Feet Road, Rashi Pride, Avani Shringeri Nagar, Devarachikannahalli, Bengaluru, Karnataka. Pin-560076 (India)",3,0.07,MEDIUM
5739,"1st Cross Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)",3,0.07,MEDIUM
5740,"Apparao Lane, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",3,0.07,MEDIUM
5741,"Anjanapura Main Road, Vaishnavi Oasis, JP Nagar Phase 9, Bengaluru, Karnataka. Pin-560062 (India)",3,0.07,MEDIUM
5742,"Sarjapura Main Road, Confident Leo, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",3,0.07,MEDIUM
5743,"1st Main Road, Keshavaraj Layout, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",3,0.07,MEDIUM
5744,"Shivanahalli Flyover, Vatal Nagaraj Road, Rajajinagar 3rd Block, Rajajinagar, Rajajinagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",3,0.07,MEDIUM
5745,"Sheshadri Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",3,0.07,MEDIUM
5746,"Shree Nivasa Nagara Kempu Gouda Road, Pattegarapalya Circle, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",3,0.07,MEDIUM
5747,"Shree Vinayaka Layout, KR Puram, K.R Pura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560036, India",3,0.07,MEDIUM
5748,"Siddapura Road, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",3,0.07,MEDIUM
5749,"1st Main Road, Krishna Shelton, Kattigenahalli, Bengaluru, Karnataka. Pin-560063 (India)",3,0.07,MEDIUM
5750,"G Narayana Kumar Road, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",3,0.07,MEDIUM
5751,"Gandhi Circle, Varthur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India",3,0.07,MEDIUM
5752,"GM Palya Main Road, Mallesh Palya Extension, Malleshpalya, Bengaluru, Karnataka. Pin-560075 (India)",3,0.07,MEDIUM
5753,"GP Rajarathnam Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",3,0.07,MEDIUM
5754,"G Narayana Kumar Road, Raheja Park, Agrahara Dasarahalli, Bengaluru, Karnataka. Pin-560079 (India)",3,0.07,MEDIUM
5755,"G Narayana Kumar Road, Sri Vinayaka Nagar Stage 1, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",3,0.07,MEDIUM
5756,"1st Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",3,0.07,MEDIUM
5757,"1st Main Road, Helmet Junction, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",3,0.07,MEDIUM
5758,"Armugam Circle, Amugam Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",3,0.07,MEDIUM
5759,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",3,0.07,MEDIUM
5760,"Electronics City Flyover, HAL Layout, Bengaluru, Karnataka. Pin-560068 (India)",3,0.07,MEDIUM
5761,"BB Road, Muneshwara Nagar, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM
5762,"B Chikkanna Layout, Garudachar Palya, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India",3,0.07,MEDIUM
5763,"1st Cross Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",3,0.07,MEDIUM
5764,"1st Cross Road, YSM Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",3,0.07,MEDIUM
5765,"Shivajinagar Bus Station, Shivaji Road, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560051, India",3,0.07,MEDIUM
5766,"1st Main Road, Isak Layout, Anantapura, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM
5767,"Sarjapura Main Road, Villa Del Mar, Ambalipura, Bengaluru, Karnataka. Pin-560102 (India)",3,0.07,MEDIUM
5768,"1st Main Road, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",3,0.07,MEDIUM
5769,"1st Main Road, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",3,0.07,MEDIUM
5770,"1st Main Road, Ex Serviceman Layout, Hegde Nagar, Bengaluru, Karnataka. Pin-560077 (India)",3,0.07,MEDIUM
5771,"Aruna Chalam Road, Papareddypalya Circle, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",3,0.07,MEDIUM
5772,"Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",3,0.07,MEDIUM
5773,"Arogya Aahara, 4, 14th Main Road, MCHS Colony, Sector 5, Jakkasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",3,0.07,MEDIUM
5774,"Fish and Meat Market, ಸುಲ್ತಾನ್ ರಸ್ತೆ, K.R Market, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",3,0.07,MEDIUM
5775,"Serpentine Street, Skyline Residency Apartment, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",3,0.07,MEDIUM
5776,"1st Main Road, AD Halli, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",3,0.07,MEDIUM
5777,"1st Main Road, Adarsh Vihar Apartment, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",3,0.07,MEDIUM
5778,"1st Main Road, Adithya Tranquil, Jayamuni Nagar, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM
5779,"F Street, Cleveland Town, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",3,0.07,MEDIUM
5780,"Electronics City Phase 2 Road, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",3,0.07,MEDIUM
5781,"Service Road, Bandepalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",3,0.07,MEDIUM
5782,"1st Main Road, Corporation Colony, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560008, India",3,0.07,MEDIUM
5783,"Service Road, Surabhi Layout, Yelahanka, Yelahanka Old Town, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",3,0.07,MEDIUM
5784,"Assayee Road, Sindhi Colony, Cox Town, Bengaluru, Karnataka. Pin-560005 (India)",3,0.07,MEDIUM
5785,"1st Main Road, Binny Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560040 (India)",3,0.07,MEDIUM
5786,"Sgraph Infotech, 90/4 Above ICICI Bank 3rd Floor, Outer Ring Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",3,0.07,MEDIUM
5787,"Service Road, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560045, India",3,0.07,MEDIUM
5788,"Ashokapuram Main Road, Sreeraj Apartment, Srikanteswara Nagar, Bengaluru, Karnataka. Pin-560096 (India)",3,0.07,MEDIUM
5789,"Aspect Technology Center, 8, Palace Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560052, India",3,0.07,MEDIUM
5790,"Field Marshall Cariappa Cycle Path, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",3,0.07,MEDIUM
5791,"Service Road, Singasandra, Bandepalya, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",3,0.07,MEDIUM
5792,"1st Main Road, B Channasandra, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",3,0.07,MEDIUM
5793,"1st Main Road, Amale Layout, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)",3,0.07,MEDIUM
5794,"Shanthaveri Gopalagowda Circle, Doctor B R Ambedkar Veedhi, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",3,0.07,MEDIUM
5795,"Electronics City Flyover, Industrial Layout, Begur, Bengaluru, Karnataka. Pin-560068 (India)",3,0.07,MEDIUM
5796,"Electronics City Flyover, Metro Urbano, Muni Reddy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",3,0.07,MEDIUM
5797,"Empire Plaza, 32, Mahakavi Kuvempu Road, Ketamaranahalli, Basaveshwaranagar, Rajajinagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",3,0.07,MEDIUM
5798,"B S A Motors, 522/D, 17th Cross Road, Subramanya Nagar 2nd Stage, Subrahmanya Nagar, Subramanyanagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560021, India",3,0.07,MEDIUM
5799,"B Srinivas Murthy Road, Seetharamaiah Layout, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",3,0.07,MEDIUM
5800,"Shell, Electronic City Flyover, Singasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",3,0.07,MEDIUM
5801,"Sheshadripuram Main Road, Basappa Garden, Seshadripuram, Rajamahal, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560003, India",3,0.07,MEDIUM
5802,"Sha Shi Marulayya Road, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",3,0.07,MEDIUM
5803,"1st Main Road, Chikka Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",3,0.07,MEDIUM
5804,"Shankara Mutt Road, BV Puram, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",3,0.07,MEDIUM
5805,"Shankara Mutt Road, Sri Karanji Anjaneya Swami Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",3,0.07,MEDIUM
5806,"1st Main Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",3,0.07,MEDIUM
5807,"Ayyappaswamy Temple Road, SLV Greens Apartment, Kumbena Agrahara, Kadugodi, Bengaluru, Karnataka. Pin-560067 (India)",3,0.07,MEDIUM
5808,"1st Main Road, Ashwath Nagar, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",3,0.07,MEDIUM
5809,"Kumbaragundi Road, SilverJubilee Park Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",3,0.07,MEDIUM
5810,"Kundalahalli Cross Road Number 1, Knightsbridge, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3,0.07,MEDIUM
5811,"Krishnappa Road, Minerva Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",3,0.07,MEDIUM
5812,"Chalasanis, 240, Whitefield Main Road, Ambedkar Nagar, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",3,0.07,MEDIUM
5813,"Wood Street, Shoolay Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",3,0.07,MEDIUM
5814,"Yelahanka Flyover, 1st Stage, Yelahanka New Town, Bengaluru, Karnataka. Pin-560064 (India)",3,0.07,MEDIUM
5815,"Yulu, New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",3,0.07,MEDIUM
5816,"Chandra Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560072, India",3,0.07,MEDIUM
5817,"100 Feet Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",3,0.07,MEDIUM
5818,"100 Feet Road, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",3,0.07,MEDIUM
5819,"100 Feet Road, SBM Circle, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",3,0.07,MEDIUM
5820,"Kuvempu Road, Dr Rajkumar Circle, Kengeri, Bengaluru, Karnataka. Pin-560060 (India)",2,0.05,MEDIUM
5821,"ಹಳೇ ಕಸಾಯಿ ರಸ್ತೆ, Dharmaraya Swamy Temple Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",2,0.05,MEDIUM
5822,"100 Feet Road, Old Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",2,0.05,MEDIUM
5823,"Channasandra Main Road, Hope Farm Circle, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2,0.05,MEDIUM
5824,"Kushal's fashion jewellery, 47, Commercial Street, Commercial Street Shopping Area, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",2,0.05,MEDIUM
5825,"5th Cross Road, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2,0.05,MEDIUM
5826,"5th Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",2,0.05,MEDIUM
5827,"100 Feet Road, FTI Quarters, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",2,0.05,MEDIUM
5828,"Zefa, 1, Dr. Rajkumar Road, Kethamaranahalli, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",2,0.05,MEDIUM
5829,"ರಿಚ್ಮಂಡ್ ರಸ್ತೆ, Ganigarpet, Dharmaraya Swamy Temple Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",2,0.05,MEDIUM
5830,"Whitefield Road, Prashanth Layout, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",2,0.05,MEDIUM
5831,"Yamuna Rai Road, Kumara Park East, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)",2,0.05,MEDIUM
5832,"Yaswantpur Road, 1st Stage, Yelahanka New Town, Bengaluru, Karnataka. Pin-560064 (India)",2,0.05,MEDIUM
5833,"Whitefield Road, Net App Bangalore Campus, Mahadevapura Industrial Area, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",2,0.05,MEDIUM
5834,"reenix sports india pvt ltd, 101, 5th Cross Road, Jooganahalli, Prakash Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560021, India",2,0.05,MEDIUM
5835,"Yemalur Road, Sobha Palladian, Airport Area, Bengaluru, Karnataka. Pin-560037 (India)",2,0.05,MEDIUM
5836,"Yemalur Road, Sree Casa Grande, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",2,0.05,MEDIUM
5837,"Yemalur Road, Vista Lagos, Kempapura Bellandur, Bengaluru, Karnataka. Pin-560037 (India)",2,0.05,MEDIUM
5838,"Yemalur Road, Greenfinch Meadows, Yemlur, Bengaluru, Karnataka. Pin-560103 (India)",2,0.05,MEDIUM
5839,"Lakshman Rayara Road, Telagupet, Bengaluru, Karnataka. Pin-560002 (India)",2,0.05,MEDIUM
5840,"Kuvempu Road, Pillappa Garden, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",2,0.05,MEDIUM
5841,"Kuvempunagara, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560013, India",2,0.05,MEDIUM
5842,"Kuvempunagara, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560015, India",2,0.05,MEDIUM
5843,"Kondajji Basappa Road, K Mariyappa Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",2,0.05,MEDIUM
5844,"Kudlu Road, Bren Palms, Kudlu, Bengaluru, Karnataka. Pin-560068 (India)",2,0.05,MEDIUM
5845,"Kudlu Road, Cadenza, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",2,0.05,MEDIUM
5846,"Field Marshal KM Cariappa Road, Mayo Hall Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",2,0.05,MEDIUM
5847,"Ashwath Katte Road, PMM Compound, Old Guddadahalli, Bengaluru, Karnataka. Pin-560026 (India)",2,0.05,MEDIUM
5848,"Ashwathakatte Road, Kasturibai Nagar, Azad Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560026, India",2,0.05,MEDIUM
5849,"Asiatic Arts and Crafts, 133, Commercial Street, Commercial Street Shopping Area, Shivajinagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",2,0.05,MEDIUM
5850,"Sha Shi Marulayya Road, Nethravathi Government Quarters, MC Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",2,0.05,MEDIUM
5851,"Shettihalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560015, India",2,0.05,MEDIUM
5852,"Shifa Hospital, Bengaluru Urban, Queen's Road, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560052, India",2,0.05,MEDIUM
5853,"Shile Havamana Road, Fortuna Windflower, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",2,0.05,MEDIUM
5854,"Shell, Hosur Road, Singasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",2,0.05,MEDIUM
5855,"Sheshadri Road, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",2,0.05,MEDIUM
5856,"Shettihalli, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560015, India",2,0.05,MEDIUM
5857,"1st Main Road, BR Pura, Bengaluru, Karnataka. Pin-560026 (India)",2,0.05,MEDIUM
5858,"1st Main Road, Chikka Adugodi, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",2,0.05,MEDIUM
5859,"1st Main Road, Balaji Layout, Byadrahalli, Bengaluru, Karnataka. Pin-560091 (India)",2,0.05,MEDIUM
5860,"Shell, Lavelle Road, D'Souza Layout, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",2,0.05,MEDIUM
5861,"1st Main Road, Block 2 Stage 3, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",2,0.05,MEDIUM
5862,"Elle, G05, Dr. Rajkumar Road, Subramanya Nagar 2nd Stage, Subrahmanya Nagar, Subramanyanagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560055, India",2,0.05,MEDIUM
5863,"Service Road, BTM Circle, BTM Layout Stage 1, Bengaluru, Karnataka. Pin-560029 (India)",2,0.05,MEDIUM
5864,"Service Road, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",2,0.05,MEDIUM
5865,"1st Main Road, Devasandra Circle, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",2,0.05,MEDIUM
5866,"Service Road, Singasandra, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",2,0.05,MEDIUM
5867,"1st Main Road, Block 3, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",2,0.05,MEDIUM
5868,"1st Main Road, Block 4M, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2,0.05,MEDIUM
5869,"Ascent HR Technologies, Survey No: 17/4C, 9C, Service Road, Roopena Agrahara, Bommanahalli, Kodi Chikkanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",2,0.05,MEDIUM
5870,"Asha Plaza, 607, 80 Feet Road, Green Leaf Layout, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",2,0.05,MEDIUM
5871,"Ashoka Pillar Circle, Ashoka Stambh Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",2,0.05,MEDIUM
5872,"Seshadri Road, Pantharapalya, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",2,0.05,MEDIUM
5873,"1st Main Road, Bethel Nagar, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",2,0.05,MEDIUM
5874,"1st Main Road, Bhavani Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",2,0.05,MEDIUM
5875,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",2,0.05,MEDIUM
5876,"Seventh Day Adventist School, Rustum Bagh Main Road, NR Layout, Jeevan Bhimanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560017, India",2,0.05,MEDIUM
5877,"Ferns City Road, Ferns Paradise, Dodda Nekkundi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India",2,0.05,MEDIUM
5878,"Forest Region Road, MES Defence Civilian Quarters, Kammagondanahalli, Bengaluru, Karnataka. Pin-560015 (India)",2,0.05,MEDIUM
5879,"Arrow, 8th Cross Road, Malleswaram, Malleshwaram, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560003, India",2,0.05,MEDIUM
5880,"Arrrow, UG17, Dr. Rajkumar Road, Subramanya Nagar 2nd Stage, Subrahmanya Nagar, Subramanyanagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560055, India",2,0.05,MEDIUM
5881,"Arumugam Mudaliar Road, KS Contey Layout, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",2,0.05,MEDIUM
5882,"Arumugam Mudaliar Road, Kalasipalyam New Extension, Bengaluru, Karnataka. Pin-560002 (India)",2,0.05,MEDIUM
5883,"Fish and Meat Market, BGS Flyover, Kalasipalyam, K.R Market, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",2,0.05,MEDIUM
5884,"1st Main Road, Balaji Circle, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",2,0.05,MEDIUM
5885,"1st Main Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",2,0.05,MEDIUM
5886,"Ejipura Main Road, Srinivagilu Junction, Agaram, Bengaluru, Karnataka. Pin-560007 (India)",2,0.05,MEDIUM
5887,"Ayodhya Road, CR Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",2,0.05,MEDIUM
5888,"Evergreen Golf Shop, # 617, KGA Road, Corporation Colony, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560008, India",2,0.05,MEDIUM
5889,"Ezee Slim, 545, Service Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560038, India",2,0.05,MEDIUM
5890,"FCI Main Road, Rudrappa Layout, Channasandra, Bengaluru, Karnataka. Pin-560067 (India)",2,0.05,MEDIUM
5891,"Electronics City Flyover, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",2,0.05,MEDIUM
5892,"Electronics City Phase 1, Electronic City, Bangalore South, Bengaluru Urban, Karnataka, 560100, India",2,0.05,MEDIUM
5893,"Elevated Section Electronic City Toll Plaza, Pramuk Aqua Heights, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",2,0.05,MEDIUM
5894,"1st Main Road, Industrial Estate, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",2,0.05,MEDIUM
5895,"1st Main Road, Gopalan Aristocrat, Kasturi Nagar, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",2,0.05,MEDIUM
5896,"1st Main Road, Goripalya, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",2,0.05,MEDIUM
5897,"1st Main Road, Green Arch, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",2,0.05,MEDIUM
5898,"Sarjapuram Junction Road, Suncity Apartment, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",2,0.05,MEDIUM
5899,"Arab Lane, Senior Police Officers Residential Complex, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",2,0.05,MEDIUM
5900,"Aramane Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560054, India",2,0.05,MEDIUM
5901,"Arcot Srinivasachar Cross Street, Old Tharagupete, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",2,0.05,MEDIUM
5902,"Arehalli Main Road, Ittamadu, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560085, India",2,0.05,MEDIUM
5903,"Fort Street, Patnoolpet, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",2,0.05,MEDIUM
5904,"Sattva Global City, Pattanagere, Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560098, India",2,0.05,MEDIUM
5905,"Saunders Road, Sulthan Nagar, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",2,0.05,MEDIUM
5906,"Service Road, Green Glen Layout, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",2,0.05,MEDIUM
5907,"Service Road, Hongasandra, Bommanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560068, India",2,0.05,MEDIUM
5908,"Seagate Technology, New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",2,0.05,MEDIUM
5909,"Forest Region Road, Divya Limelite, Kammagondanahalli, Bengaluru, Karnataka. Pin-560015 (India)",2,0.05,MEDIUM
5910,"Annaswamy Mudaliar Road, Narayana Reddy Colony, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",2,0.05,MEDIUM
5911,"Annaswamy Mudaliar Road, Rukmani Colony, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",2,0.05,MEDIUM
